,features,importance
0,index,5.617223454534632e-08
1,mean,0.00037269047862685317
2,std,3.768425784036025e-05
3,skew,3.554372408517379e-05
4,FFT_mean_real,4.738971896334754e-08
5,FFT_mean_imag,1.50920801083056e-11
6,FFT_std_real,1.2704471545136007e-07
7,FFT_std_max,1.0181070773283513e-09
8,Roll_std_p05,0.005306442627278942
9,Roll_std_p30,0.0019576545645377313
10,Roll_std_p60,0.00025411929699039004
11,Roll_std_absDiff,0.28504161271829664
12,Roll_mean_p05,0.00043625711345016697
13,Roll_mean_absDiff,1.0
14,MFCC_mean02,7.231865389097196e-05
15,MFCC_mean16,0.00014260576506205453
