,MAE score,Classifier
0,2.122014928601229,Decision Tree
1,1.9918174950437009,Decision Tree
2,2.0963870233326354,Decision Tree
3,2.051493070574047,Decision Tree
4,2.074451157474697,Decision Tree
0,2.059107359204455,Random Forest
1,1.9656682063816608,Random Forest
2,2.023086222917426,Random Forest
3,2.032919310492323,Random Forest
4,2.0200773073533176,Random Forest
0,2.063863980334621,LGBM
1,1.971278058644088,LGBM
2,2.0195273653570927,LGBM
3,2.0130200252387804,LGBM
4,2.0520812635625094,LGBM
0,1.807093751738116,DecisionTree (with index)
1,1.6115659473228452,DecisionTree (with index)
2,1.8021761659837916,DecisionTree (with index)
3,1.630284023919661,DecisionTree (with index)
4,1.7333273069376647,DecisionTree (with index)
0,1.6849598537323776,Random Forest (with index)
1,1.5695309303966694,Random Forest (with index)
2,1.6172419184683475,Random Forest (with index)
3,1.5991068519515785,Random Forest (with index)
4,1.6128669312024444,Random Forest (with index)
0,0.6992000133348031,LGBM (with index)
1,0.6358666141230425,LGBM (with index)
2,0.7370073011672497,LGBM (with index)
3,0.6530358481570003,LGBM (with index)
4,0.676393382513824,LGBM (with index)
